ball,score,commentary
32.4,1,"Bumrah to Finch, 1 run, another short one. Finch pulls it down in front of square leg"
32.3,1,"Bumrah to Warner, 1 run, short this time, pulled towards deep square leg"
32.2,0,"Bumrah to Warner, no run, fuller around off and middle, clears his front leg and looks to hit down the ground, mistimes it towards mid-off"
32.1,1,"Bumrah to Finch, 1 run, length ball angling but Finch stays leg side once again and nudges it towards covers"
31.6,0,"Kuldeep Yadav to Warner, no run, length ball around off, punched towards covers"
31.5,1,"Kuldeep Yadav to Finch, 1 run, a low full toss at the stumps, driven firmly towards the left of mid-off, Pandey makes a tumbling stop there"
31.5,1,"Kuldeep Yadav to Finch, 1 wide, length ball pitching on the leg stump and spinning down. Called a wide"
31.4,2,"Kuldeep Yadav to Finch, 2 runs, short of length outside off, goes back and cuts it towards sweeper cover"
31.3,0,"Kuldeep Yadav to Finch, no run, length ball around off, defended"
31.2,6,"Kuldeep Yadav to Finch, SIX runs, Finch gets into the act, lofted inside out with mid-off inside the circle. Tossed up around off, Finch comes forward and just uses his hand to hit it up and over"
31.1,0,"Kuldeep Yadav to Finch, no run, length ball on middle and leg, Finch misses the flick and is hit on the pads, was spinning down though"
30.6,4,"Bumrah to Warner, FOUR runs, fuller around off and middle and driven past mid-off, it's looking all too easy for Warner at the moment"
30.5,0,"Bumrah to Warner, no run, short again, just outside off, Warner looks to ramp it over but fails to connect"
30.4,0,"Bumrah to Warner, no run, fuller outside off, squeezes it out towards point"
30.3,0,"Bumrah to Warner, no run, a bouncer in response. Goes for the pull but it's too high to connect"
30.2,4,"Bumrah to Warner, FOUR runs, 18th ODI hundred for Warner, brings out the trademark celebration. Was a short of length delivery and he cut it behind point for four. A brilliant knock from Warner and he's not done yet"
30.1,0,"Bumrah to Warner, no run, short of length at the batsman, Warner dabs it towards short third man. Warner was looking for a single but retraces in time. Jadeja fires in the throw but misses. Good back-up by Iyer there"
29.6,1,"Kuldeep Yadav to Warner, 1 run, flatter and a touch quicker, length ball at the stumps, Warner cuts it towards sweeper cover"
29.5,1,"Kuldeep Yadav to Finch, 1 run, fuller around off, drives it towards long-off"
29.4,1,"Kuldeep Yadav to Warner, 1 run, length ball outside off, cuts it towards sweeper cover"
29.3,4,"Kuldeep Yadav to Warner, FOUR runs, dropped short, width on offer. Warner rocks back and smashes it to the deep extra cover boundary"
29.2,0,"Kuldeep Yadav to Warner, no run, fuller around off, comes forward and blocks"
29.1,1,"Kuldeep Yadav to Finch, 1 run, length ball around off, sweeps it towards deep-backward square leg"
28.6,0,"Jadeja to Warner, no run, length ball around off, comes forward and blocks"
28.5,0,"Jadeja to Warner, no run, given lbw but reviewed straightaway by Warner. Was fuller on the stumps, Warner was looking to paddle it fine. Replays show there was an inside edge onto the pads"
28.4,0,"Jadeja to Warner, no run, length ball at the stumps, stays back and blocks"
28.3,0,"Jadeja to Warner, no run, length ball around off, punched towards covers"
28.2,1,"Jadeja to Finch, 1 leg bye, fuller on the toes, misses the flick but gets a leg-bye to short fine leg"
28.1,1,"Jadeja to Warner, 1 run, length ball on the pads, flicked towards fine leg, moves into the 90s"
27.6,1,"Thakur to Warner, 1 run, short again, pulls it towards the fielder this time, a single to fine leg"
27.5,4,"Thakur to Warner, FOUR runs, short again but down the leg side this time, pulls it fine, to the left of Kuldeep at fine leg for a boundary"
27.4,0,"Thakur to Warner, no run, short of length outside off, Warner  leaves that alone"
27.3,1,"Thakur to Finch, 1 leg bye, length ball on the pads, misses the flick but gets another leg-bye"
27.2,1,"Thakur to Warner, 1 run, length ball around off, punches it towards covers"
27.1,1,"Thakur to Finch, 1 run, fuller around off, drives it towards sweeper cover"
26.6,0,"Jadeja to Warner, no run, length ball around off, spins back a bit as Warner mistimes the cut into the ground"
26.5,1,"Jadeja to Finch, 1 leg bye, length ball on the pads, misses the flick but collects a leg-bye"
26.4,1,"Jadeja to Warner, 1 run, fuller around off, comes forward and flicks it towards square leg"
26.3,0,"Jadeja to Warner, no run, length ball at the stumps, backs away and punches it towards extra cover"
26.2,1,"Jadeja to Finch, 1 run, length ball outside off, pushes it towards sweeper cover from the back foot"
26.1,0,"Jadeja to Finch, no run, length ball around off, stays in the crease and defends"
25.6,1,"Thakur to Finch, 1 run, fuller on the leg stump, flicked towards midwicket"
25.5,0,"Thakur to Finch, no run, length ball around off, stays back and defends on the off side"
25.4,0,"Thakur to Finch, no run, length ball on middle and leg, flicked towards square leg"
25.3,1,"Thakur to Warner, 1 run, a bouncer just outside of, Warner bends a little and helps it towards third man"
25.2,0,"Thakur to Warner, no run, length ball at the stumps, backs away and taps it towards point"
25.1,1,"Thakur to Finch, 1 run, length ball on middle and leg, flicked towards backward square leg"
25.1,1,"Thakur to Finch, 1 wide, and he starts with a wide down the leg side"
24.6,0,"Jadeja to Warner, no run, length ball around off, comes forward and blocks"
24.5,0,"Jadeja to Warner, no run, length ball around off, pushes it towards cover-point"
24.4,1,"Jadeja to Finch, 1 run, length ball around off, goes back and punches it towards sweeper cover"
24.3,0,"Jadeja to Finch, no run, length ball at the stumps, comes forward and blocks"
24.2,1,"Jadeja to Warner, 1 run, fuller around middle and off, pushed towards long-off"
24.1,4,"Jadeja to Warner, FOUR runs, fuller on the stumps, Warner comes forward and looks to drive but the ball spins in to take the inside edge. Rahul cannot grab it and it runs away for four"
23.6,4,"Mohammed Shami to Finch, FOUR runs, length ball outside off, a deft touch from Finch to run it to the left of Kuldeep who puts in the slide, gets his hand to it but fails to flick it back, the ball rolls away and touches the skirting"
23.5,0,"Mohammed Shami to Finch, no run, fuller on the stumps, drives it towards mid-on"
23.4,0,"Mohammed Shami to Finch, no run, length ball around off, defended from the crease"
23.3,4,"Mohammed Shami to Finch, FOUR runs, short and wide and cuts it through point, no chance whatsoever for Kuldeep this time around"
23.2,2,"Mohammed Shami to Finch, 2 runs, short outside off, Finch helps it over backward point, it went to the right of third man, Kuldeep almost makes a mess of it as the ball gets entangled in his leg after he pushes it back. Eventually it stops just inside"
23.1,0,"Mohammed Shami to Finch, no run, fuller and wider outside off, Finch stays leg side of the ball and steers it towards extra cover"
22.6,0,"Kuldeep Yadav to Warner, no run, short of length outside off, cuts it towards backward point"
22.5,6,"Kuldeep Yadav to Warner, SIX runs, flighted outside off, Warner skips down the track, wasn't to the exact pitch of the ball but with the mid-on up, he goes for it and makes a good enough connection to clear the boundary on the full"
22.4,1,"Kuldeep Yadav to Finch, 1 run, length ball and spinning in. Finch was caught on the back foot but just manages to get some bat on it, a single to fine leg and with that, 150 comes up for Australia"
22.3,2,"Kuldeep Yadav to Finch, 2 runs, fuller on the stumps, sweeps it towards deep square leg for a couple"
22.2,1,"Kuldeep Yadav to Warner, 1 run, fuller on the pads, flicked towards midwicket"
22.1,0,"Kuldeep Yadav to Warner, no run, fuller, tossed up at the stumps, uses his feet to dig it out towards mid-on"
21.6,1,"Mohammed Shami to Warner, 1 run, fuller outside off, stays leg side of the ball and steers it towards deep cover"
21.5,1,"Mohammed Shami to Finch, 1 run, a bouncer this time and pulled towards deep-backward square leg"
21.4,0,"Mohammed Shami to Finch, no run, brilliant from Jadeja. Short and wide and Finch bludgeons it. Jadeja flings himself to his right at backward point and makes a one-handed stop"
21.3,1,"Mohammed Shami to Warner, 1 run, length outside off, goes for the cut but ends up chopping it into the ground. A single as the ball dribbles towards deep cover"
21.2,0,"Mohammed Shami to Warner, no run, length ball on middle and leg, tucked away towards square leg"
21.1,0,"Mohammed Shami to Warner, no run, length ball around off, coming in with the angle, defended"
20.6,0,"Kuldeep Yadav to Finch, no run, length ball on the stumps, Finch comes forward to defend but it spins back to hit the pad. Another loud appeal but umpire Shamshuddin says not-out. Kohli is aghast. He inquiring with the umpire who, it seems, signals height was the issue. The ball tracking shows the ball was spinning down and would have just clipped the leg stump. India don't have a review but it would have been umpire's call only"
20.6,1,"Kuldeep Yadav to Finch, 1 wide, length ball down the leg side and spinning further away, called a wide"
20.5,0,"Kuldeep Yadav to Finch, no run, fuller on the stumps, drives it towards extra cover"
20.4,1,"Kuldeep Yadav to Warner, 1 run, tossed up on the stumps, backs away and drills it through extra cover. Kohli dives to his left but can only get his fingers on it"
20.3,0,"Kuldeep Yadav to Warner, no run, length ball on the stumps, comes forward and defends"
20.2,1,"Kuldeep Yadav to Finch, 1 run, fuller around off, a traditional sweep for a single to deep square leg"
20.1,0,"Kuldeep Yadav to Finch, no run, a wrong'un to beat the bat. Finch came forward to defend but it spun past the outside edge. Rahul whips the bails off, the foot was in the air for a fraction and they have gone for the third umpire. Replays show what players seem to know already, the foot is grounded back when the bails came off"
19.6,1,"Jadeja to Finch, 1 run, length ball on the pads, flicked towards backward square leg"
19.5,0,"Jadeja to Finch, no run, length ball at the stumps, Finch presses forward but misses and is struck on the front pad. A loud appeal for lbw but not given. Jadeja is confident and India go for the review. An inside edge, replays show"
19.4,0,"Jadeja to Finch, no run, length ball around off, pushes it towards point"
19.3,1,"Jadeja to Warner, 1 run, fuller on the stumps, pushed towards long-on"
19.2,4,"Jadeja to Warner, FOUR runs, short outside off, not much turn there, Warner rocks back and cuts it past point for four"
19.2,1,"Jadeja to Warner, 1 wide, length ball sliding down the leg side, Warner was over-balanced while going for a flick, Rahul fails to collect but it brushed only the pad. The umpire though signals wide"
19.1,0,"Jadeja to Warner, no run, 89.3kph, fuller around off, defended from the crease"
18.6,0,"Kuldeep Yadav to Finch, no run, fuller on the stumps, nudges it towards extra cover"
18.5,1,"Kuldeep Yadav to Warner, 1 run, tossed up outside off, drives it inside out towards deep extra cover"
18.4,0,"Kuldeep Yadav to Warner, no run, length ball on the stumps, looked like a googly, Warner goes back and turns it towards short midwicket"
18.3,2,"Kuldeep Yadav to Warner, 2 runs, fuller outside off and driven towards deep extra cover, Warner is quick enough to come back for the second"
18.2,1,"Kuldeep Yadav to Finch, 1 run, fuller outside off, pushes it towards covers gently and sets off, makes it comfortably"
18.1,4,"Kuldeep Yadav to Finch, FOUR runs, more runs, short of length outside off, and Finch doesn't miss out. Cuts it through point for four more"
17.6,4,"Jadeja to Warner, FOUR runs, short of length, enough room outside off, goes back and slaps it through covers"
17.5,1,"Jadeja to Finch, 1 run, angling on to the pads this time, tucked away towards backward square leg"
17.4,0,"Jadeja to Finch, no run, length ball on the stumps, smothers it on the front foot"
17.3,0,"Jadeja to Finch, no run, length again, flicked towards short midwicket"
17.2,0,"Jadeja to Finch, no run, length ball at the stumps, comes forward and defends"
17.1,2,"Jadeja to Finch, 2 runs, angling onto the pads and then spinning away to take a thick outside edge. Finch was looking to work it on the leg side, gets two as the ball goes past the slip fielder"
16.6,0,"Kuldeep Yadav to Warner, no run, another googly but shorter in length and outside off, Warner cuts it towards backward point"
16.5,1,"Kuldeep Yadav to Finch, 1 run, length ball around off, goes back and punches it towards covers"
16.4,1,"Kuldeep Yadav to Warner, 1 run, wrong'un. Warner didn't pick that up, was looking to defend towards the bowler. The ball takes the inner half and rolls behind square leg"
16.3,0,"Kuldeep Yadav to Warner, no run, tossed up around off, 79.4kph. Comes forward and drives it towards extra cover"
16.2,1,"Kuldeep Yadav to Finch, 1 run, length ball on the pads, flicked towards square leg"
16.1,0,"Kuldeep Yadav to Finch, no run, fuller on the stumps, comes forward and blocks"
15.6,0,"Bumrah to Warner, no run, length, angles away across him, and he defends with a short forward press"
15.5,0,"Bumrah to Warner, no run, full ball, around middle and off, and he drives this towards mid-on"
15.4,1,"Bumrah to Finch, 1 run, length, and he taps this away towards point and picks up a single. That's his fifty too!"
15.3,0,"Bumrah to Finch, no run, yorker, and played well by Finch. Just makes a bit of room to open his stance up and then blocks it away towards short mid-wicket"
15.3,1,"Bumrah to Finch, 1 wide, full, but down the leg side. Finch tries for a whip off his pads, but cannot lay bat on it"
15.2,3,"Bumrah to Warner, 3 runs, short, and he just clears short mid-wicket with a little chip shot. Nearly carries to the mid-wicket fence"
15.1,0,"Bumrah to Warner, no run, fuller ball, and he whips this off his pads. Fielded at square leg, and Finch has to go back after being sent back. Good speed on that ball"
14.6,0,"Kuldeep Yadav to Finch, no run, wrong 'un, and he goes back and defends this off the back foot"
14.5,0,"Kuldeep Yadav to Finch, no run, fuller, and he drives this towards short mid-wicket"
14.4,0,"Kuldeep Yadav to Finch, no run, straightens after pitching, and he goes back to play this towards short mid-wicket"
14.3,0,"Kuldeep Yadav to Finch, no run, length, and he goes back to cut. Misses out, and Rahul gets excited at the prospect of a caught-behind"
14.2,0,"Kuldeep Yadav to Finch, no run, length, comes back in, and strikes Finch on the pad and bat as he stretches to defend. A feeble appeal, as the impact would have been outside"
14.1,1,"Kuldeep Yadav to Warner, 1 run, skips down the wicket, and drives this towards long-off"
13.6,0,"Bumrah to Finch, no run, cuts back in from outside off, and he plays it towards square leg"
13.5,0,"Bumrah to Finch, no run, back of a length, and he defends towards point"
13.4,4,"Bumrah to Finch, 4 byes, ooh, top ball! Shapes in from around off and middle, and cuts Finch in half. Moves enough to go over the stumps, and then swings late to go down the leg side. Beats Rahul too"
13.3,1,"Bumrah to Warner, 1 run, short of a length, and he rides the bounce and whips it off his pads towards square leg"
13.2,0,"Bumrah to Warner, no run, beats the outside edge. Length ball, and it bounces a touch extra on its way through, angling across Warner"
13.1,4,"Bumrah to Warner, FOUR runs, short, and he moves into position swiftly and then pulls this in front of square. Really well controlled and placed"
12.6,0,"Kuldeep Yadav to Finch, no run, turns back into him from outside off, and he plays this towards cover"
12.5,0,"Kuldeep Yadav to Finch, no run, length, around off, and he drives this towards wide cover"
12.4,0,"Kuldeep Yadav to Finch, no run, presses forward to defend a length ball"
12.3,6,"Kuldeep Yadav to Finch, SIX runs, fuller, and he has flogged this straight back over the bowler. Towards the long-on fence, and over it. It's the 100-run partnership"
12.2,0,"Kuldeep Yadav to Finch, no run, wrong 'un, and he goes back and punches this towards cover"
12.1,0,"Kuldeep Yadav to Finch, no run, length, turns back in, and he drives this off the back foot towards point"
11.6,0,"Jadeja to Warner, no run, short, and he goes back to cut this in front of square on the off side"
11.5,6,"Jadeja to Warner, SIX runs, length, around off, and he has swung this wide of deep mid-wicket. All the way, and hits the boundary skirting on the full"
11.4,0,"Jadeja to Warner, no run, length, and he presses forward to drive it back towards Jadeja"
11.3,1,"Jadeja to Finch, 1 leg bye, length, slants in, and he looks to flick this away. Off his pad towards short fine leg"
11.2,0,"Jadeja to Finch, no run, length, a bit slower, outside off, and he drives this towards cover. Didn't come on to the bat at all"
11.1,0,"Jadeja to Finch, no run, length, and he stretches forward to defend"
10.6,0,"Kuldeep Yadav to Warner, no run, wrong 'un, and he plays it late towards short third man"
10.5,0,"Kuldeep Yadav to Warner, no run, hit hard towards Kohli at cover"
10.4,1,"Kuldeep Yadav to Finch, 1 run, ooh, another edge! Finch looks to flog one around off, and again goes off the top edge, and flies towards third man"
10.3,0,"Kuldeep Yadav to Finch, no run, presses forward to defend"
10.2,1,"Kuldeep Yadav to Warner, 1 run, sharp turn away from Warner, and he plays off the back foot. Cut towards point, and there's a throw at the non-striker's end that hits Kuldeep and goes off for an overthrow"
10.1,1,"Kuldeep Yadav to Finch, 1 run, gets the leading edge, but this hasn't carried to cover! Wrong 'un, and he looks to play this with turn coming in, and ends up top-edging it, but it lands shy of Shreyas Iyer"
9.6,0,"Thakur to Warner, no run, length, angles in, and he plays it towards short mid-wicket"
9.5,4,"Thakur to Warner, FOUR runs, slower ball, scrambled seam, but not much of a difference. Warner rocks back, and just pumps it inside out. Rasping cut over the infield, and there's no protection at the sweeper cover fence"
9.5,1,"Thakur to Warner, 1 wide, short, but down the leg side. Warner lets this pass"
9.4,2,"Thakur to Warner, 2 runs, length, and he punches this through covers. The man there is unable to stop it, but Kohli goes across from mid-off and saves two runs"
9.3,1,"Thakur to Finch, 1 run, length, outside off, and he runs this down to third man"
9.2,1,"Thakur to Warner, 1 run, slower ball, around off, and he taps this away towards point and picks up a quick single"
9.1,4,"Thakur to Warner, FOUR runs, fuller ball, a bit of movement back in, and he smacks this through extra cover. Just gets his feet out of the way, and that makes enough room for him to execute this shot to perfection!"
8.6,1,"Mohammed Shami to Warner, 1 run, length, and he runs this down towards third man, with an open face of the bat"
8.5,1,"Mohammed Shami to Finch, 1 run, length, around off, and he steers this towards third man"
8.4,0,"Mohammed Shami to Finch, no run, length, straightens after pitching, and he drives this towards mid-wicket"
8.3,4,"Mohammed Shami to Finch, FOUR runs, short of a length, and some width, and Finch helps this along past point and cover-point. Super shot again, as the infielders are mere spectators at the moment"
8.2,0,"Mohammed Shami to Finch, no run, length, cut away towards point"
8.1,4,"Mohammed Shami to Finch, FOUR runs, length, around off, and he stretches forward to bisect the gap between mid-off and cover. Top shot again!"
7.6,0,"Thakur to Warner, no run, looks for the fuller ball, and overcooks it a touch. Some late swing in, but Warner covers it to play it out towards cover, all along the ground"
7.5,6,"Thakur to Warner, SIX runs, length, and he picks it early. Outside off, and he has swatted this way over mid-wicket. Big six! A bit of glove love from the captain, as Warner announces his arrival in this series"
7.4,0,"Thakur to Warner, no run, short, and he hops to ride the bounce and defend it"
7.4,1,"Thakur to Warner, 1 wide, full, but too wide. Left alone"
7.3,4,"Thakur to Warner, FOUR runs, length, and he looks to go towards mid-wicket. Skews the bat and it goes off towards long leg. A bit of movement back in, nearly defeats him, but not enough"
7.2,0,"Thakur to Warner, no run, plays a length ball towards cover"
7.1,4,"Thakur to Warner, FOUR runs, length, but width on offer, and he flogs this inside out. Not off the middle, but good enough to go one and two bounces into the extra cover fence. Off the outside edge too"
6.6,0,"Bumrah to Finch, no run, fuller, wider, and he plays over the line of this. Looks for the drive, but misses out"
6.5,4,"Bumrah to Finch, FOUR runs, length, and he goes on top of the bounce and plays this towards point. Beats the man at point, Jadeja, diving away to his left, and then races away to the right of third man. Terrific shot again from Finch!"
6.4,0,"Bumrah to Finch, no run, length, punched towards cover"
6.3,1,"Bumrah to Warner, 1 run, length, jags back into him, and he whips this away towards square leg"
6.2,4,"Bumrah to Warner, FOUR runs, short, and he flicks this away towards deep backward square leg"
6.1,0,"Bumrah to Warner, no run, length, and he flicks this towards short mid-wicket"
5.6,0,"Thakur to Finch, no run, length, swing away, and he drives to cover"
5.5,2,"Thakur to Finch, 2 runs, length, movement away, and he drives. There's a wobble at cover by Manish Pandey, and that allows Finch to pick up runs"
5.4,1,"Thakur to Warner, 1 run, length, zips in from outside off, and he flicks it with the movement towards fine leg"
5.4,1,"Thakur to Warner, 1 wide, short, down the leg side, and he chases it, and he's been given out caught behind! Warner reviews after a lengthy chat with Finch. This was a terrible ball actually, and deserved the proper treatment it nearly received from the batsman. Did he just get a feather on it, through to Rahul behind the wicket? No. Nothing on that on the broadcast. Warner stays"
5.3,0,"Thakur to Warner, no run, fuller ball, a hint of movement back in, and Warner drives this towards point"
5.2,0,"Thakur to Warner, no run, length, and he presses forward to defend this"
5.1,0,"Thakur to Warner, no run, gets the very first ball to jag back from around the wicket. Strikes Warner as he misses that. Was it missing leg, or perhaps too high? Eventually, there's no review from India"
4.6,3,"Mohammed Shami to Warner, 3 runs, length, and he flicks it off his pads towards mid-wicket. There's a fielder there, Shikhar Dhawan, who misfields. Has to chase this all the way to the fence, and he's able to pull it back just in time to prevent four"
4.5,0,"Mohammed Shami to Warner, no run, length, angles back into him, and he defends this towards cover"
4.4,0,"Mohammed Shami to Warner, no run, length, driven back towards Shami, who picks it up on his follow-through"
4.3,1,"Mohammed Shami to Finch, 1 leg bye, length, jags back in, and he looks to play this towards the on side. Off the pads, and going down leg, but drops towards square leg"
4.2,4,"Mohammed Shami to Finch, FOUR runs, length, around off, and he drives this between cover-point and point. Superb shot, with no chance for either fielder to get anywhere near it!"
4.1,0,"Mohammed Shami to Finch, no run, length, just around off, and he drives this back towards cover"
3.6,1,"Bumrah to Finch, 1 leg bye, length, and he whips this towards fine leg. Off the pad, says the umpire"
3.5,4,"Bumrah to Finch, FOUR runs, short, and he hangs back and punches this through point"
3.4,2,"Bumrah to Finch, 2 runs, hint of movement back in, and he uses that to nurdle this towards deep backward square leg. Hard running brings an easy two"
3.3,4,"Bumrah to Finch, FOUR runs, gorgeous! The length is good, but not as full as what you would consider ideal for the drive. There's a bit of movement back in, and with that Finch just throws his hands at it and strokes it through cover"
3.2,0,"Bumrah to Finch, no run, shorter, a bit of shape back in, and he cuts this towards point"
3.1,0,"Bumrah to Finch, no run, length, around off, and he drives this towards point"
2.6,0,"Mohammed Shami to Warner, no run, ooh, a beauty! Like a very fast off-break, this pitches around off, and then moves away in the air. Warner half-stretches forward to defend, and sees this whizz past his outside edge, through to KL Rahul behind the stumps. Remember again, no Pant"
2.5,0,"Mohammed Shami to Warner, no run, length, nips back in a touch, and he defends from the crease"
2.4,0,"Mohammed Shami to Warner, no run, full, wide, and he smashes this hard through cover, but the fielder there is quick to cut this off"
2.3,1,"Mohammed Shami to Finch, 1 run, strays down the pads with a fuller ball, and he can flick it away towards long leg"
2.2,4,"Mohammed Shami to Finch, FOUR runs, inswinger, but he stretches and smashes this through covers. Top shot from Finch! A short movement forward with his front foot, and then just going with the shot as he would normally do. It's been a mode of dismissal exploited by India in the past, but not this time"
2.1,1,"Mohammed Shami to Warner, 1 run, strays down the pads, and he can whip it off his legs towards long leg. Wants two, but has to settle for one as the fielder converges quickly from fine leg"
1.6,0,"Bumrah to Finch, no run, length, a hint of movement back in. Finch wants to press forward to defend, and the inward movement makes the bat skew as he blocks"
1.5,0,"Bumrah to Finch, no run, length, jags back in from outside off, and Finch leaves it. Trusts the bounce on this surface, but that wasn't far away from the top of off!"
1.4,2,"Bumrah to Finch, 2 runs, shorter, and he goes on top of his toes to ride the bounce. Pushes this through the cover-point region, and picks up two before Pandey can pull it back in"
1.3,0,"Bumrah to Finch, no run, length, and he defends this incoming ball towards point"
1.2,1,"Bumrah to Warner, 1 leg bye, shorter, and he looks to flick this away. Off his pads, and pops up around square leg. They pick up a leg bye before the fielder can bring it in"
1.1,0,"Bumrah to Warner, no run, length, but a bit too much width. Warner leaves, and Rahul has to scramble away to his left to collect this in front of first slip"
0.6,0,"Mohammed Shami to Finch, no run, fuller, straighter, and he drives this to mid-on"
0.5,0,"Mohammed Shami to Finch, no run, length, a bit of movement back in, and he defends with a slight forward press"
0.4,0,"Mohammed Shami to Finch, no run, drives this firmly back towards the bowler"
0.3,4,"Mohammed Shami to Finch, FOUR runs, bit of swing, but width on offer, and he swings this through the point region. It just about makes it to the fence."
0.2,1,"Mohammed Shami to Warner, 1 run, length, a bit of nip away, and takes the outside edge as he looks to drive. Runs along the ground towards third man"
0.1,0,"Mohammed Shami to Warner, no run, length, just around off, and he punches this towards cover, where substitute fielder Manish Pandey stops it"
49.1,7,"Richardson to Mohammed Shami, OUT, length ball at the stumps, backs away and looks to smash across, gets a top edge that goes high and behind the stumps, Carey positions himself under it as it comes spiralling down, the ball pops out of his gloves but he does well to cling to the rebound, between his chin/neck and the glove"
48.6,7,"Starc to Mohammed Shami, OUT, a direct hit from Smith and Kuldeep has to go back. Fuller outside off, Shami steered it towards backward point and set off, Smith had all the time to nail the direct hit and he does"
48.5,1,"Starc to Kuldeep Yadav, 1 run, fuller around off, squeezes it out on the off side and sprints to the other end"
48.4,4,"Starc to Kuldeep Yadav, FOUR runs, a length ball around off, Kuldeep backs away and smashes it over the bowler's head, gets a boundary"
48.3,1,"Starc to Mohammed Shami, 1 run, fuller at the stumps who backs away and pushes it towards long-on, 250 comes up for India"
48.2,1,"Starc to Kuldeep Yadav, 1 run, length ball on the pads, clipped towards fine leg"
48.2,1,"Starc to Kuldeep Yadav, 1 wide, fuller but way down the leg side"
48.1,4,"Starc to Kuldeep Yadav, FOUR runs, fuller ball around off, Kuldeep makes some room and steers it through covers for four"
47.6,0,"Richardson to Mohammed Shami, no run, short of length outside off, gives himself room and looks to smash over extra cover, beaten again"
47.5,0,"Richardson to Mohammed Shami, no run, length ball outside off, backs away and looks to slog, misses"
47.4,1,"Richardson to Kuldeep Yadav, 1 run, slower length ball, backs away and tucks it towards midwicket, Richardson chases himself but Shami is charging down for the second. The throw is at the wrong end and there is enough time for Shami to retrace his steps"
47.3,1,"Richardson to Mohammed Shami, 1 run, short of length at the stumps, Shami back away and pulls it towards deep midwicket"
47.2,1,"Richardson to Kuldeep Yadav, 1 run, length ball outside off, steered towards third man"
47.1,0,"Richardson to Kuldeep Yadav, no run, slower length ball outside off, looks to push on the off side, misses"
46.6,4,"Starc to Mohammed Shami, FOUR runs, 142kph, gets the timing right. Goes for the yorker but ends up bowling a full toss, hits it through covers for four"
46.5,1,"Starc to Kuldeep Yadav, 1 run, fuller on the stumps, swiped towards square leg"
